Searchterm,Impressions,Clicks,Cost,Conversions,ConversionValue,CTR,CPC,CostPerConversion,Campaigns,AdGroups,MatchedKeywords,MatchTypes,QueryTargetingStatuses,NumRows
chinese medicine doctor,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
chinese medicine minneapolis,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,men's health naturopath,broad,None,1
chinese medicine st paul,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
christian functional medicine near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me,phrase (close variant),None,1
cleanse colon near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dietitians near me,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional doctor in my area | holistic dr near me,broad,None,2
do doctors near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor Minneapolis,broad,None,1
dr barbara o neill,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr cassie wilder,10,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro,holistic dr near me | holistic medicine Minneapolis | integrative medicine near me | men's health naturopath | natural pediatrician near me | naturopathic doctor near me,broad | phrase (close variant),None,6
dr eric berg,9,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional doctor in my area | functional integrative doctor | functional integrative medicine near me | functional medicine practitioner | holistic dr near me | naturopathic doctor near me | naturopathic dr near me,broad,None,7
dr kevin reese,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional integrative doctor | holistic dr near me,broad,None,2
dr plotnikoff,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
dr staci holweger,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | naturopathic doctor near me,broad,None,2
dr tyna moore,6,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | men's health naturopath | natural pediatrician near me | naturopathic doctor near me,broad,None,4
eastern medicine doctor,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
edina acupuncture,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
endocrinologist minneapolis,6,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro,holistic medicine Minneapolis | integrative medicine near me | naturopathic dr near me,broad,None,3
energy medicine,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Naturopath Near Me — Core,natural doctor near me | naturopathic doctor near me,broad,None,2
fairview clinics,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic medicine Minneapolis,broad,None,1
female hormone specialist near me,8,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Women's Health & Hormones,holistic dr near me | hormone doctor near me | naturopath for menopause | naturopathic doctor near me | women's hormone specialist near me,broad | exact (close variant) | phrase (close variant),None,5
find naturopathic doctor,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,exact (close variant),None,1
function health doctors near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
functional doctor near me thyroid,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
functional gi doctor near me,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine near me | holistic dr near me,broad | phrase (close variant),None,2
functional lab testing near me,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine near me | integrative medicine near me,broad | phrase (close variant),None,2
functional medicine doctor blue cross blue shield,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
functional medicine doctor in minneapolis,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic medicine Minneapolis,phrase (close variant),None,1
functional medicine doctor plymouth mn,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional doctor | functional medical physician | holistic dr near me,broad | phrase | phrase (close variant),None,3
functional medicine doctor that takes insurance near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic dr near me,broad,None,1
functional medicine dr,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine clinic near me | holistic dr near me,broad,None,2
functional medicine edina,9,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional medicine | functional medicine doctor edina | holistic dr near me | naturopathic doctor near me,broad | exact (close variant) | phrase,None,5
functional medicine gi doctor,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,men's health naturopath,broad,None,1
functional medicine pediatrician near me,6,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Pediatrics,holistic dr near me | holistic pediatricians near me | integrative medicine near me,broad | phrase (close variant),None,3
good doctors near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
gut health functional medicine doctor,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me,broad,None,1
gut health specialist near me,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine near me | holistic dr near me | integrative medicine near me,broad,None,3
hashimoto's doctors near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me,broad,None,1
healing near me,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Naturopath Near Me — Core,holistic dr near me | naturopaths in my area,broad,None,2
health clinics in minneapolis,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
herbalists near me,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,integrative medicine near me | naturopathic doctor near me,broad,None,2
holistic acne doctor near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,phrase (close variant),None,1
holistic care near me,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,integrative doctor | natural medicine Minnesota | naturopathic doctor near me,broad | phrase (close variant),None,3
holistic chiropractor minneapolis,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic medicine Minneapolis,phrase (close variant),None,1
holistic clinics near me,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | naturopathic doctor near me,broad | exact (close variant),None,2
holistic doctors minneapolis,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me,broad,None,2
holistic healthcare near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,exact (close variant),None,1
holistic hormone testing,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,functional medicine,broad,None,1
holistic medicine practitioner,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core,functional doctor in my area | holistic dr near me,broad | exact (close variant),None,3
holistic medicine stores near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
holistic menopause specialist near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,phrase (close variant),None,1
holistic naturopathic doctor near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,exact (close variant),None,1
holistic nutritionist near me,9,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me | natural pediatrician near me | naturopathic doctor near me,broad,None,4
holistic women's health,7,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Women's Health & Hormones,holistic dr near me | naturopath for hormones | naturopath for women's health | naturopathic doctor near me,broad,None,4
homeopathic doctors in minneapolis,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,natural pediatrician near me | naturopathic doctor Minneapolis,broad,None,2
homeopathic medicine minneapolis,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
homeopathic medicine practitioners,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me,broad,None,1
homeopathic physicians near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,phrase (close variant),None,1
homeopathic providers near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
homeopathic remedies near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
homeopathy medicine near me,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me,broad,None,2
homeoprophylaxis near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic dr near me,broad,None,1
hopkins wellness,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | naturopathic doctor near me,broad,None,2
hrt specialist near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
immunologist near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
integrative health clinic minneapolis,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me | naturopathic doctor Minneapolis,broad,None,2
integrative health clinics,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,integrative health near me | integrative medicine near me,exact (close variant),None,2
integrative medicine near me that takes insurance,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me | naturopathic doctor near me,broad | phrase,None,2
integrative wellness near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
lifestyle medicine doctors,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,holistic dr near me | integrated doctor,broad | phrase (close variant),None,2
male hormone doctor near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,functional medicine near me,broad,None,1
minnesota acupuncture,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro,natural medicine Minnesota | naturopathic doctor Minneapolis,broad | phrase (close variant),None,2
natural nutritionist near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
naturopath clinics near me,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,natural medicine Minnesota | naturopathic doctor near me,broad | exact (close variant),None,2
naturopath duluth mn,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
naturopath fertility treatment,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
naturopath mn,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
naturopathic clinics,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
naturopathic doctor in minnesota,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro,holistic dr near me | naturopathic doctor Minneapolis,broad | exact (close variant),None,2
naturopathic doctor maple grove,12,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core | Women's Health & Hormones,holistic dr near me | holistic medicine Minneapolis | men's health naturopath | natural pediatrician near me | naturopath for hormones | naturopathic doctor near me | naturopaths in my area,broad | phrase (close variant),None,7
naturopathic doctor near me that takes insurance,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,phrase,None,1
naturopathic doctor st paul mn,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,natural pediatrician near me,broad,None,1
naturopathic doctors in minneapolis,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro,holistic dr near me | holistic medicine Minneapolis,broad | phrase (close variant),None,2
naturopathic dr,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,exact (close variant),None,1
naturopathic medicine,12,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional medical physician | functional medicine doctor eden prairie | functional medicine doctor edina | holistic dr near me | integrative medicine near me | naturopathic doctor near me,broad,None,6
naturopathic thyroid specialist near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,phrase (close variant),None,1
naturopathy,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core,functional holistic medicine | holistic dr near me | naturopaths in my area,broad,None,3
nutritionist,8,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Naturopath Near Me — Core,functional doctor in my area | functional medicine doctors near me | functional medicine near me | holistic dr near me | naturopathic doctor near me,broad,None,6
osteopath near me,7,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,holistic dr near me | integrative medicine near me | naturopathic doctor near me,broad,None,3
park nicollet clinic,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional holistic medicine | holistic medicine Minneapolis | naturopathic doctor near me,broad,None,3
park nicollet functional medicine,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
primary care minneapolis,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor Minneapolis | naturopathic doctor near me,broad,None,2
stacey degen,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
traditional chinese medicine near me,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | naturopathic doctor near me,broad | phrase (close variant),None,2
wellness centers minneapolis,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medicine near me | holistic dr near me,broad,None,2
what is a naturopathic doctor,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | integrative medicine near me,broad,None,2
whisperology,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,integrative medicine near me,broad,None,1
women's health,21,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Women's Health & Hormones,female naturopath | female naturopath near me | holistic dr near me | holistic medicine Minneapolis | hormone doctor near me | integrative medicine near me | naturopath for hormone imbalance | naturopath for hormones | naturopathic doctor near me,broad,None,9
clinics in coon rapids mn,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,integrative medicine doctors in my area | naturopaths in my area,broad,None,2
colonic cleanse near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrative health near me,broad,None,1
functional and integrative medicine near me,6,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,alternative medicine near me | functional medicine | integrative medicine near me | naturopathic dr near me,broad | exact (close variant) | phrase | phrase (close variant),None,4
functional lab testing,6,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional medical | functional medicine,phrase (close variant),None,3
functional medicine woodbury,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine | functional medicine doctors near me,broad | phrase,None,2
hcmc near me,7,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,alternative medicine near me | functional medicine doctors near me | functional medicine near me,broad,None,3
health and wellness clinics near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine near me,broad,None,1
healthy near me,10,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core,functional integrative medicine near me | functional medicine | functional medicine doctor edina | functional medicine doctors near me | naturopathic doctor near me | naturopathic practitioner near me,broad,None,6
hennepin healthcare,11,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional holistic medicine | functional integrative doctor | functional integrative medicine near me | integrative health near me | integrative medicine near me | natural functional doctor | naturopathic doctor Minneapolis,broad,Excluded,7
huberman lab,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
integrative health near me,7,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,integrative health near me | integrative medicine near me | naturopathic doctor near me,broad | exact | exact (close variant),Added,5
integrative md,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,integrated doctor | integrative medicine doctors in my area,broad | exact (close variant),None,2
north point clinic,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me,broad,None,1
ridgeview medical center,9,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional integrative doctor | functional medicine doctor eden prairie | functional medicine doctors near me | functional medicine near me | functional medicine practitioner | holistic medicine Minneapolis | natural medicine Minnesota,broad,None,7
roots wellness,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional integrative medicine near me | functional medicine near me,broad,None,2
sibo test,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine,functional medicine,broad,None,1
valley medical and wellness,11,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine,functional doctor in my area | functional holistic medicine | functional integrative doctor | functional integrative medicine near me | functional medicine doctors in my area | functional medicine practitioner | natural functional doctor | naturopathic doctor near me,broad,None,8
acupuncture,7,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional holistic medicine | integrative medicine near me | men's health naturopath | natural medicine Minnesota,broad,Excluded,4
clinic,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro,functional medicine doctor edina | functional medicine doctors near me,broad,None,2
natural hormone therapy minnetonka,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Geo-Qualified — Hopkins & West Metro,holistic medicine Minneapolis,phrase (close variant),None,1
voyage healthcare,10,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core | Pediatrics,best naturopath near me | functional medicine doctor eden prairie | integrative medicine near me | natural medicine Minnesota | natural pediatrician near me,broad,Excluded,5
everest men's health,7,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Men's Health,functional integrative medicine near me | male health doctor near me | naturopath for men | naturopath for prostate,broad,None,4
game day mens clinic,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Men's Health,naturopath for men,broad,None,1
male doctor appointment,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Men's Health,male medical clinic near me | men health clinic near me | men's specialist doctor near me,broad,None,3
mens health clinic,6,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Men's Health,functional integrative doctor | men health clinic near me | men's health doctor near me | naturopath for men,broad | exact (close variant),None,4
clinic near me,12,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Men's Health | Naturopath Near Me — Core | Women's Health & Hormones,alternative medicine near me | functional medicine clinic near me | functional medicine doctor eden prairie | functional medicine near me | hormone doctor near me | integrative health near me | integrative medicine doctors in my area | male primary care doctors near me,broad,None,8
holistic treatment for diverticulitis,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Naturopath Near Me — Core,naturopathic practitioner near me,broad,None,1
homeopathy,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Geo-Qualified — Hopkins & West Metro | Naturopath Near Me — Core,functional medicine doctor edina | functional medicines | holistic dr near me,broad,None,3
naturopathic healing,7,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Naturopath Near Me — Core,holistic dr near me | natural doctor near me | naturopathic practitioner near me | naturopaths in my area,broad,None,4
which doctor,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Functional & Integrative Medicine | Naturopath Near Me — Core,functional doctor in my area | integrative medicine doctors in my area | naturalist dr near me,broad,None,3
baby not feeling well,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Pediatrics,natural pediatrician near me | pediatric naturopath near me,broad,None,2
black pediatrician,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Pediatrics,pediatric holistic doctor | pediatric holistic doctor near me | pediatric naturopath near me,broad,None,3
central pediatrics,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Pediatrics,pediatric holistic doctor,broad,None,1
magdalena kappelman,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Pediatrics,holistic pediatricians near me,broad,None,1
partners in pediatrics near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Pediatrics,pediatric holistic doctor near me,broad,None,1
pediatric clinics minneapolis,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Pediatrics,pediatric naturopath near me,broad,None,1
pediatric functional medicine,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Pediatrics,holistic pediatricians near me,broad,None,1
pediatrics near me,6,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Pediatrics,holistic pediatricians near me | pediatric holistic doctor | pediatric naturopath near me,broad,None,3
south lake pediatrics,6,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Pediatrics,holistic pediatricians near me | pediatric holistic doctor | pediatric holistic doctor near me | pediatric naturopath near me,broad,Excluded,4
zarminali pediatrics mn,10,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Pediatrics,holistic pediatricians near me | natural pediatrician near me | pediatric holistic doctor | pediatric holistic doctor near me | pediatric naturopath near me,broad,None,5
affordable fertility treatment,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
associates in women's health,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me | women's health naturopath | women's hormone specialist near me,broad,None,3
best menopause specialist near me,8,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Women's Health & Hormones,hormone doctor near me | integrative medicine near me | naturopathic doctor near me | perimenopause doctor near me,broad | exact (close variant) | phrase (close variant),None,4
bhrt therapy,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me | functional medicine for hormones,broad,None,2
doctors specializing in pcos near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
hormone replacement therapy,11,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Women's Health & Hormones,female naturopath near me | hormone doctor near me | integrative medicine near me | natural help for menopause | naturopath for hormone imbalance | naturopath for hormones | women's health naturopath | women's hormone specialist near me,broad,None,8
hormone testing for women,7,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones | hormone doctor near me | natural help for menopause | naturopath for hormone imbalance,broad,None,4
obgyn offices near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
obgyn west,6,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me | hormone doctor near me | women's health naturopath,broad,None,3
pcos doctor near me,7,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1 | Women's Health & Hormones,hormone doctor near me | naturopath for menopause | naturopathic doctor near me | women's health naturopath,broad | phrase (close variant),None,4
pcos symptoms and treatment,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me | women's health naturopath,broad,None,2
pcos treatment options,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath | women's hormone specialist near me,broad,None,2
period,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
women's hormone therapy,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine hormones,broad,None,1
activator chiropractor near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
active healing,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
acupuncture edina,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
acupuncture for joint pain,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,alternative medicine doctors near me,broad,None,1
acupuncture for perimenopause,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,naturopathic doctor near me,broad,None,1
acupuncture for tinnitus near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
acupuncture for trigeminal neuralgia near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
acupuncture hopkins mn,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
acupuncture maple grove,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me | men's health naturopath | naturopathic doctor near me,broad,None,3
acupuncture minnesota,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Ad group 1,holistic dr near me,broad,None,1
