Campaignname,CampaignID,Campaignstatus,Adgroupname,AdgroupID,Adgroupstatus,Keyword,KeywordID,Matchtype,Keywordstatus,SystemServingStatus,Isnegative,Currencycode,MaxCPCCurrency,Qualityscore,SearchPredictedCtr,CreativeQualityScore,PostClickQualityScore,TopOfPageCpc,FirstpageCPC,FirstPositionCpc,EstimatedAddClicksAtFirstPositionCpc,EstimatedAddCostAtFirstPositionCpc,TrackingUrlTemplate,keywordlabels,Impressions,Clicks,interactions,engagements,Cost,Ctr,CPC,CPM,interactionrate,CostPerInteraction,Conversions,CostPerConversion,ConversionRate,ConversionValue,ROAS,EstimatedTotalConversions,EstimatedTotalConversionValue,EstimatedTotalConversionRate,CostPerAllConversion,SearchImpressionShare,SearchExactMatchImpressionShare,SearchBudgetLostImpressionShare,SearchRankLostImpressionShare,SearchTopImpressionShare,SearchAbsoluteTopImpressionShare,SearchRankLostTopImpressionShare,SearchRankLostAbsoluteTopImpressionShare,SearchBudgetLostTopImpressionShare,SearchBudgetLostAbsoluteTopImpressionShare,TopImpressionPercentage,AbsoluteTopImpressionPercentage,TotalAvailableImpressions,LostImpressions,LostImpressionsDueToRank
Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,natural medicine Minnesota,2457285928234,Broad,removed,,False,USD,0,,,,,,,,,,,,244,4,4,0,9.4,0.0164,2.35,38.5246,0.0164,2.35,0,,0,0,0,6,6,1.5,1.5667,0.0999,,0,0.097,0.1,0.0999,0.1,0.11,0.89,0.89,0.7,0.3,2342,2108,227
Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,naturopathic doctor Minneapolis,2457285929674,Broad,removed,,False,USD,0,,,,,,,,,,,,86,5,5,0,9.29,0.0581,1.858,108.0233,0.0581,1.858,1,9.29,0.2,1,0.1076,5,5,1,1.858,0.1262,0.0999,0,0.2691,0.1,0.0999,0.3,0.38,0.61,0.61,0.71,0.08,618,540,166
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,integrated and functional medicine,1567976204040,Broad,removed,,False,USD,0,,,,,,,,,,,,36,3,3,0,9.0968,0.0833,3.0323,252.6881,0.0833,3.0323,0,,0,0,0,0,0,0,,0.0999,,0,0.037,0.1,0.0999,0.05,0.11,0.87,0.87,0.9,0.2,310,279,11
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medicine clinic near me,629327041832,Broad,removed,,False,USD,0,,,,,,,,,,,,92,4,4,0,8.7,0.0435,2.175,94.5652,0.0435,2.175,0,,0,0,0,1,1,0.25,8.7,0.0999,0.25,0,0.1123,0.1,0.0999,0.12,0.12,0.88,0.88,0.74,0.11,881,793,99
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,natural help for menopause,298084176236,Broad,removed,,False,USD,0,,,,,,,,,,,,108,3,3,0,8.62,0.0278,2.8733,79.8148,0.0278,2.8733,0,,0,0,0,0,0,0,,0.0999,,0,0.0936,0.1,0.0999,0.1,0.11,0.88,0.88,0.59,0.18,971,874,91
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,functional medicine hormones,422395640608,Broad,paused,Eligible,False,USD,2.6,,,,,20.17,17.26,,,,,,45,5,5,0,7.59,0.1111,1.518,168.6667,0.1111,1.518,0,,0,0,0,2,2,0.4,3.795,0.0999,0.25,0,0.1661,0.1,0.0999,0.18,0.19,0.79,0.79,0.69,0.46,260,234,43
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,integrated doctor,298575878765,Broad,removed,,False,USD,0,,,,,,,,,,,,85,3,3,0,7.4,0.0353,2.4667,87.0588,0.0353,2.4667,1,7.4,0.3333,65,8.7838,16,80,5.3333,0.4625,0.0999,0.2308,0,0.1245,0.1,0.0999,0.13,0.18,0.8,0.8,0.8,0.27,761,685,95
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medicine practitioner,303254433014,Broad,removed,,False,USD,0,,,,,,,,,,,,90,4,4,0,7.26,0.0444,1.815,80.6667,0.0444,1.815,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0.0731,0.1,0.0999,0.08,0.09,0.9,0.9,0.82,0.29,711,640,52
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medicine doctors in my area,466935651506,Broad,paused,Eligible,False,USD,1.9,6,Average,Below average,Above average,2.02,2.02,,,,,,168,3,3,0,7.23,0.0179,2.41,43.0357,0.0179,2.41,0,,0,0,0,0,0,0,,0.0999,0.1429,0,0.0939,0.1,0.0999,0.1,0.11,0.88,0.88,0.78,0.33,1602,1442,150
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,male medical clinic near me,783507827476,Broad,paused,Eligible,False,USD,1.3,,,,,6.13,6.13,,,,,,36,4,4,0,7.2298,0.1111,1.8074,200.8276,0.1111,1.8074,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0.0618,0.1,0.0999,0.07,0.07,0.9,0.9,0.6,0.4,100,90,6
Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,functional medicine doctor minnetonka,1416410843211,Broad,removed,,False,USD,0,,,,,,,,,,,,49,3,3,0,7.21,0.0612,2.4033,147.1429,0.0612,2.4033,1,7.21,0.3333,65,9.0153,2,66,0.6667,3.605,0.0999,,0,0.1171,0.1,0.0999,0.12,0.12,0.87,0.87,0.73,0.36,490,441,57
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,integrative health near me,807046778385,Broad,removed,,False,USD,0,,,,,,,,,,,,220,4,4,0,6.43,0.0182,1.6075,29.2273,0.0182,1.6075,1,6.43,0.25,1,0.1555,4,4,1,1.6075,0.0999,0.4286,0,0.2109,0.1,0.0999,0.22,0.24,0.76,0.76,0.56,0.16,2112,1901,446
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,perimenopause doctor near me,879175999408,Phrase,enabled,Eligible,False,USD,2.6,5,Below average,Below average,Above average,7.46,7.11,,,,,,24,3,3,0,6.42,0.125,2.14,267.5,0.125,2.14,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0.057,0.1,0.0999,0.06,0.1,0.9,0.9,0.82,0.06,240,216,14
PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,dr jacob panka,1997189022924,Exact,enabled,Rarely served,False,USD,0.01,,,,,,,,,,,,6,2,2,0,5.37,0.3333,2.685,895,0.3333,2.685,0,,0,0,0,0,0,0,,1,1,0,0,1,1,0,0,0,0,1,1,6,0,0
PNHdefense-Website traffic-Search-2,23888858069,paused,Ad group 1,196283052145,enabled,dr panka,933585970059,Exact,enabled,Eligible,False,USD,0.01,6,Average,Below average,Above average,,,,,,,,5,2,2,0,5.13,0.4,2.565,1026,0.4,2.565,0,,0,0,0,0,0,0,,1,1,0,0,1,1,0,0,0,0,1,1,5,0,0
Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,functional medicine doctor eden prairie,1416410840771,Broad,removed,,False,USD,0,,,,,,,,,,,,78,2,2,0,4.87,0.0256,2.435,62.4359,0.0256,2.435,0,,0,0,0,0,0,0,,0.0999,,0,0.0771,0.1,0.0999,0.08,0.09,0.9,0.9,0.86,0.29,741,667,57
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,natural help for menopause,322912570731,Phrase,enabled,Eligible,False,USD,2.6,,,,,0.12,0.07,,,,,,20,2,2,0,4.82,0.1,2.41,241,0.1,2.41,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0.0677,0.1,0.0999,0.07,0.08,0.9,0.9,0.59,0.29,170,153,12
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,holistic dr near me,296740931208,Broad,enabled,Eligible,False,USD,2.5,7,Above average,Average,Average,8.68,3.1,,,,,,163,4,4,0,4.7085,0.0245,1.1771,28.8862,0.0245,1.1771,2,2.3542,0.5,2,0.4248,4,4,1,1.1771,0.0999,0.2315,0,0.0512,0.1,0.0999,0.06,0.07,0.9,0.9,0.52,0.22,1021,919,52
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,male primary care doctors near me,322930161988,Broad,paused,Eligible,False,USD,1.3,,,,,0.34,0.34,,,,,,13,2,2,0,4.68,0.1538,2.34,360,0.1538,2.34,0,,0,0,0,0,0,0,,0.1132,0.0999,0,0,0.1,0.0999,0.04,0.09,0.89,0.89,0.67,0.17,80,71,0
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,best functional doctors near me,1079104736352,Broad,removed,,False,USD,0,,,,,,,,,,,,59,2,2,0,4.52,0.0339,2.26,76.6102,0.0339,2.26,0,,0,0,0,1,1,0.5,4.52,0.0999,,0,0.097,0.1,0.0999,0.1,0.11,0.89,0.89,0.46,0.15,541,487,52
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,holistic hormone doctor near me,825924214050,Phrase,enabled,Eligible,False,USD,2.6,5,Average,Below average,Average,9.44,4.08,,,,,,2,1,1,0,4.43,0.5,4.43,2215,0.5,4.43,0,,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,0,0,1,0,2,0,0
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,integrative medicine near me,312654900388,Phrase,enabled,Eligible,False,USD,0.01,,,,,2.95,2.68,,,,,,11,1,1,0,4.24,0.0909,4.24,385.4545,0.0909,4.24,0,,0,0,0,0,0,0,,0.75,0.75,0,0.125,0.75,0.125,0.13,0.75,0.13,0.13,1,0.17,15,4,2
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,functional medicine near me,325505212743,Broad,enabled,Eligible,False,USD,0.01,,,,,,,,,,,,31,2,2,0,4.07,0.0645,2.035,131.2903,0.0645,2.035,0,,0,0,0,7,7,3.5,0.5814,0.2245,0.5,0,0.449,0.18,0.0999,0.49,0.63,0.33,0.33,0.8,0.1,138,107,62
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,naturopath for endometriosis,359506051186,Phrase,enabled,Eligible,False,USD,2.6,,,,,2.93,1.68,,,,,,2,2,2,0,4,1,2,2000,1,2,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0,0.1,0.0999,0,0,0.9,0.9,1,1,20,18,0
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medical doctors,298829237476,Broad,removed,,False,USD,0,,,,,,,,,,,,29,2,2,0,3.75,0.069,1.875,129.3103,0.069,1.875,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0.0722,0.1,0,0.08,0,0.9,0,0.75,0,270,243,20
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,men's health naturopath,943798649025,Broad,removed,,False,USD,0,,,,,,,,,,,,73,8,8,0,3.6877,0.1096,0.461,50.5161,0.1096,0.461,0,,0,0,0,0,0,0,,0.0999,,0,0.0889,0,0,0,0,0,0,0,0,320,288,28
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,holistic doctor for men near me,2405800260956,Broad,removed,,False,USD,0,,,,,,,,,,,,42,3,3,0,3.52,0.0714,1.1733,83.8095,0.0714,1.1733,0,,0,0,0,0,0,0,,0.2,,0,0.5,0.1,0,0.6,0,0.3,0,0.5,0,55,44,28
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,integrative health near me,807046778385,Broad,enabled,Eligible,False,USD,0.01,,,,,,,,,,,,14,3,3,0,3.2913,0.2143,1.0971,235.0961,0.2143,1.0971,0,,0,0,0,1,1,0.3333,3.2913,0.1765,0.5,0,0.4118,0.12,0.0999,0.47,0.53,0.41,0.41,0.67,0.33,79,65,33
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,naturopath for fertility,354423724287,Broad,removed,,False,USD,0,,,,,,,,,,,,38,2,2,0,3.28,0.0526,1.64,86.3158,0.0526,1.64,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0.0328,0.1,0.0999,0.03,0.07,0.9,0.9,1,0.33,250,225,8
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,natural doctor near me,298794213593,Broad,removed,,False,USD,0,,,,,,,,,,,,90,2,2,0,3.13,0.0222,1.565,34.7778,0.0222,1.565,0,,0,0,0,0,0,0,,0.1014,0.2,0,0.1087,0.1,0.0999,0.12,0.15,0.82,0.82,0.62,0.31,720,647,78
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,gents specialist doctor near me,1173141205177,Broad,paused,Eligible,False,USD,1.3,,,,,1.76,1.76,,,,,,46,4,4,0,2.96,0.087,0.74,64.3478,0.087,0.74,2,1.48,0.5,130,43.9189,4,132,1,0.74,0.0999,,0,0.0488,0.1,0.0999,0.05,0.06,0.9,0.9,1,0.67,70,63,3
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,pcos specialist near me,393086251324,Phrase,enabled,Eligible,False,USD,2.6,5,Average,Below average,Average,3.41,3.41,,,,,,5,1,1,0,2.91,0.2,2.91,582,0.2,2.91,0,,0,0,0,1,1,1,2.91,0.0999,0.0999,0,0.0392,0.1,0.0999,0.04,0.1,0.86,0.86,1,0.4,50,45,2
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,naturopathic dr near me,295411384059,Broad,enabled,Eligible,False,USD,2.5,7,Below average,Above average,Above average,3.41,2,,,,,,81,2,2,0,2.8781,0.0247,1.439,35.5319,0.0247,1.439,0,,0,0,0,0,0,0,,0.152,0.2875,0,0.0526,0.13,0.0999,0.07,0.16,0.8,0.8,0.83,0.25,474,402,25
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,endometriosis specialist near me,313019455439,Phrase,enabled,Eligible,False,USD,2.6,5,Average,Below average,Average,4.32,4.32,,,,,,2,1,1,0,2.86,0.5,2.86,1430,0.5,2.86,0,,0,0,0,0,0,0,,0.1111,0.1111,0,0,0.11,0.0999,0,0.06,0.89,0.89,1,0.5,18,16,0
Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,functional medicine doctor edina,1416410840811,Broad,removed,,False,USD,0,,,,,,,,,,,,114,2,2,0,2.76,0.0175,1.38,24.2105,0.0175,1.38,1,2.76,0.5,65,23.5507,7,71,3.5,0.3943,0.0999,0.4167,0,0.1532,0.1,0.0999,0.16,0.19,0.81,0.81,0.69,0.19,1071,964,164
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,functional medicine clinic near me,629327041832,Broad,enabled,Eligible,False,USD,0.01,,,,,,,,,,,,7,1,1,0,2.73,0.1429,2.73,390,0.1429,2.73,0,,0,0,0,0,0,0,,1,1,0,0,1,1,0,0,0,0,1,1,7,0,0
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,male doctor near me,297520616059,Broad,paused,Eligible,False,USD,1.3,,,,,2.6,2.6,,,,,,15,1,1,0,2.06,0.0667,2.06,137.3333,0.0667,2.06,1,2.06,1,65,31.5534,2,66,2,1.03,0.0999,0.0999,0,0.2963,0.1,0,0.3,0,0.63,0,1,0,110,99,33
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,male health doctors near me,417261681746,Broad,paused,Eligible,False,USD,1.3,,,,,3.82,3.82,,,,,,18,2,2,0,2.0243,0.1111,1.0121,112.4604,0.1111,1.0121,0.51,3.9692,0.255,0.51,0.2519,1.51,1.51,0.755,1.3406,0.0999,0.2,0,0.3333,0.1,0.0999,0.33,0.37,0.62,0.62,1,0.25,150,135,50
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,men's specialist doctor near me,1016846386681,Broad,paused,Eligible,False,USD,1.3,,,,,4.9,1.67,,,,,,55,4,4,0,2.0171,0.0727,0.5043,36.675,0.0727,0.5043,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0.1231,0,0,0,0,0,0,0,0,110,99,14
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medical doctors,311258286897,Phrase,enabled,Eligible,False,USD,1.9,,,,,,,,,,,,2,1,1,0,1.81,0.5,1.81,905,0.5,1.81,0,,0,0,0,0,0,0,,,,,,,,0,0,0,0,1,1,0,0,0
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,naturopath for erectile dysfunction,2362109076957,Broad,paused,Eligible,False,USD,1.3,,,,,1.51,1.29,,,,,,22,5,5,0,1.3678,0.2273,0.2736,62.171,0.2273,0.2736,0,,0,0,0,0,0,0,,0.0999,,0,0.098,0.1,0,0.1,0,0.88,0,1,0,40,36,4
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,natural practitioner near me,449781667092,Broad,enabled,Eligible,False,USD,2.5,6,Average,Below average,Above average,4.5,1.7,,,,,,2,1,1,0,1.35,0.5,1.35,675,0.5,1.35,0,,0,0,0,0,0,0,,0.25,0.25,0,0,0.25,0,0,0,0.75,0,1,0,8,6,0
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,women's naturopath near me,822120435560,Broad,removed,,False,USD,0,,,,,,,,,,,,101,2,2,0,1.2836,0.0198,0.6418,12.7091,0.0198,0.6418,0,,0,0,0,0,0,0,,0.0999,,0,0.1595,0.1,0.0999,0.17,0.19,0.8,0.8,0.67,0.17,891,802,142
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,holistic pediatricians near me,352635960607,Broad,enabled,Eligible,False,USD,0.01,,,,,3.71,3.71,,,,,,19,1,1,0,1.28,0.0526,1.28,67.3684,0.0526,1.28,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0.6235,0.1,0.0999,0.62,0.67,0.3,0.3,1,0.33,190,171,119
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medical,298906613248,Broad,removed,,False,USD,0,,,,,,,,,,,,100,1,1,0,1.21,0.01,1.21,12.1,0.01,1.21,0,,0,0,0,0,0,0,,0.0999,0.1538,0,0.116,0.1,0.0999,0.12,0.16,0.83,0.83,0.67,0.17,841,757,98
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,naturopath for low testosterone,2374002905935,Broad,removed,,False,USD,0,,,,,,,,,,,,26,2,2,0,1.01,0.0769,0.505,38.8462,0.0769,0.505,0,,0,0,0,0,0,0,,0.0999,,0,0.0876,0.1,0.0999,0.09,0.12,0.87,0.87,0.63,0.13,130,117,11
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,men's health doctor near me,327528920044,Broad,paused,Eligible,False,USD,1.3,,,,,9.36,9.36,,,,,,34,2,2,0,0.47,0.0588,0.235,13.8235,0.0588,0.235,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0.3333,0,0,0,0,0,0,0,0,100,90,33
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,naturopath for prostate,2489305179026,Broad,paused,Eligible,False,USD,1.3,,,,,1.51,1.29,,,,,,15,1,1,0,0.319,0.0667,0.319,21.2689,0.0667,0.319,0,,0,0,0,0,0,0,,0.0999,,0,0,0,0,0,0,0,0,0,0,110,99,0
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,men health clinic near me,809666013740,Broad,paused,Eligible,False,USD,1.3,,,,,1.68,1.68,,,,,,18,1,1,0,0.2865,0.0556,0.2865,15.9173,0.0556,0.2865,0,,0,0,0,0,0,0,,0.0999,0.0999,0,0.5,0,0,0,0,0,0,0,0,30,27,15
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,naturalist dr near me,393482794014,Broad,paused,Eligible,False,USD,2.5,,,,,1.04,1.04,,,,,,166,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,,0,0.074,0.1,0.0999,0.08,0.09,0.9,0.9,0.6,0.21,1351,1216,100
Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,pediatric holistic doctor near me,427407324440,Broad,enabled,Eligible,False,USD,2.4,6,Average,Below average,Above average,0.91,0.91,,,,,,152,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,0.0999,0,0.0714,0.1,0.0999,0.08,0.09,0.9,0.9,0.75,0.25,1221,1099,87
Leads-Search-1,22767146837,enabled,Pediatrics,197488229277,enabled,natural pediatrician near me,352635961367,Broad,enabled,Eligible,False,USD,2.4,,,,,6.82,3.03,,,,,,51,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,0.0999,0,0.0714,0,0,0,0,0,0,0,0,390,351,28
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,naturopathic family medicine,302483789996,Broad,enabled,Eligible,False,USD,0.01,,,,,6.19,2.7,,,,,,48,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,,0,0.417,0.1,0.0999,0.43,0.45,0.53,0.53,0.67,0.33,230,207,96
Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,functional medicine doctor hopkins,1416410841571,Broad,removed,,False,USD,0,,,,,,,,,,,,46,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,,0,0.1176,0.1,0,0.12,0,0.81,0,1,0,460,414,54
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,naturopath for menopause,337987763643,Broad,removed,,False,USD,0,,,,,,,,,,,,41,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,,0,0.0323,0.1,0,0.03,0,0.9,0,1,0,360,324,12
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,natural healing doctors near me,311437399568,Broad,paused,Eligible,False,USD,2.5,,,,,6.19,3.15,,,,,,33,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,,0,0.3659,0.1,0,0.4,0,0.56,0,0.5,0,260,234,95
Leads-Search-1,22767146837,enabled,Naturopath Near Me — Core,201177654927,enabled,best naturopath near me,346755549738,Broad,enabled,Eligible,False,USD,2.5,8,Above average,Below average,Above average,7.16,7.16,,,,,,30,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,1,0,0.0955,0.1,0.0999,0.11,0.12,0.87,0.87,0.5,0.21,280,252,27
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medicine practice near me,436847453242,Broad,removed,,False,USD,0,,,,,,,,,,,,15,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,,0,0.0773,0.1,0,0.08,0,0.9,0,0.33,0,140,126,11
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,integrative medicine near me,312654900388,Phrase,enabled,Eligible,False,USD,2.6,5,Below average,Below average,Above average,4.64,2.5,,,,,,15,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.3333,0.6,0,0,0.21,0.1026,0,0.1,0.79,0.79,0.62,0.31,45,30,0
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,men's clinic near me,300558794055,Broad,paused,Eligible,False,USD,1.3,,,,,4.88,4.37,,,,,,15,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,0.0999,0,0.3,0,0,0,0,0,0,0,0,110,99,33
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medicine,44794693,Phrase,enabled,Eligible,False,USD,1.9,7,Below average,Above average,Above average,,,,,,,,14,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,,,,,,,0,0,0,0,0.71,0.14,0,0,0
Leads-Search-1,22767146837,enabled,Men's Health,201177674047,enabled,men's doctor near me,418469253323,Broad,paused,Eligible,False,USD,1.3,,,,,2.06,2.06,,,,,,11,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,,0,0.5,0,0,0,0,0,0,0,0,90,81,45
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,perimenopause naturopath,888598728605,Phrase,enabled,Eligible,False,USD,2.6,7,Average,Average,Above average,1.92,1.92,,,,,,7,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.1786,0.2857,0,0,0.18,0.0999,0,0.11,0.82,0.82,1,0.4,39,32,0
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,natural doctor near me,298794213593,Broad,enabled,Eligible,False,USD,0.01,,,,,3.53,2.76,,,,,,4,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.25,0.25,0,0.5,0.25,0,0.5,0,0.25,0,1,0,16,12,8
Leads-Search-1,22767146837,enabled,Women's Health & Hormones,192679099330,enabled,holistic hormone doctor near me,616638070031,Broad,removed,,False,USD,0,,,,,,,,,,,,4,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,best naturopathic doctor near me,296836537841,Broad,enabled,Eligible,False,USD,0.01,,,,,1.67,1.67,,,,,,3,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.6667,0.6667,0,0.3333,0.67,0,0.33,0,0,0,1,0,4,1,1
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,functional medicine practitioner,10477182709,Phrase,enabled,Eligible,False,USD,1.9,,,,,,,,,,,,3,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,,,,,,,0,0,0,0,1,1,0,0,0
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,holistic doctor Hopkins MN,2431677352035,Broad,enabled,Rarely served,False,USD,0.01,,,,,,,,,,,,2,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,1,,0,0,1,1,0,0,0,0,1,1,2,0,0
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,natural doctor near me,301055025575,Phrase,enabled,Eligible,False,USD,0.01,,,,,3.53,2.76,,,,,,2,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.1667,0.3333,0,0.6667,0.17,0,0.67,0,0.17,0,1,0,12,10,8
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,pediatric naturopath,298624063855,Broad,enabled,Eligible,False,USD,0.01,,,,,0.8,0.09,,,,,,2,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,0.0999,0,0.9001,0,0,0,0,0,0,0,0,10,9,9
Leads-Search-1,22767146837,enabled,Ad group 1,183759893484,removed,pediatric naturopath near me,547692999832,Broad,enabled,Eligible,False,USD,0.01,,,,,0.77,0.77,,,,,,2,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,0.3333,0,0.9001,0,0,0,0,0,0,0,0,20,18,18
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,best functional doctor near me,596599231098,Broad,removed,,False,USD,0,,,,,,,,,,,,2,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,,0,0,0,0,0,0,0,0,0,0,20,18,0
Leads-Search-1,22767146837,enabled,Functional & Integrative Medicine,198432290338,enabled,integrative health near me,441297710576,Phrase,enabled,Eligible,False,USD,1.9,,,,,1.73,1.73,,,,,,2,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0
Leads-Search-1,22767146837,enabled,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,functional medicine doctor minnetonka,2395103740971,Phrase,enabled,Eligible,False,USD,2.6,,,,,1.51,1.29,,,,,,2,0,0,0,0,0,,0,0,,0,,,0,,0,0,,,0.0999,,0,0.2,0,0,0,0,0,0,0,0,20,18,4
