source,bucket,can_serve_today,adgroup,adgroup_status,keyword,match_type,keyword_status,lifetime_impressions,lifetime_clicks,lifetime_cost,lifetime_primary_conversions,lifetime_all_conversions,never_clicked,never_served,first_month,last_month,clears_money_bar_20usd,clears_evidence_bar_15clicks,zero_on_all_conversions,verdict,regimeE_impressions_2026_08_09,regimeE_clicks_2026_08_09,regimeE_cost_2026_08_09
KeywordView,D_criterion_removed,NO,Naturopath Near Me — Core,enabled,natural doctor near me,Broad,removed,90,2,3.13,0,0.0,,,2026|07,2026|07,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Women's Health & Hormones,enabled,women's naturopath near me,Broad,removed,101,2,1.28,0,0.0,,,2026|07,2026|08,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",22,0,0.0
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,functional medical,Broad,removed,100,1,1.21,0,0.0,,,2026|07,2026|07,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Men's Health,enabled,naturopath for low testosterone,Broad,removed,26,2,1.01,0,0.0,,,2026|07,2026|08,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",14,2,1.01
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,best functional doctor near me,Broad,removed,2,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Geo-Qualified — Hopkins & West Metro,enabled,functional medicine doctor hopkins,Broad,removed,46,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Women's Health & Hormones,enabled,functional medicine for hormones,Phrase,removed,2,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Functional & Integrative Medicine,enabled,functional medicine practice near me,Broad,removed,15,0,0.0,0,0.0,YES,,2026|08,2026|09,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",15,0,0.0
KeywordView,D_criterion_removed,NO,Women's Health & Hormones,enabled,holistic hormone doctor near me,Broad,removed,4,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Women's Health & Hormones,enabled,holistic thyroid doctors near me,Broad,removed,1,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Men's Health,enabled,men's hormone doctor near me,Broad,removed,1,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Women's Health & Hormones,enabled,natural help for perimenopause,Broad,removed,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Women's Health & Hormones,enabled,natural hormone doctors near me,Broad,removed,1,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Men's Health,enabled,naturopath for men's health,Broad,removed,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Women's Health & Hormones,enabled,naturopath for menopause,Broad,removed,41,0,0.0,0,0.0,YES,,2026|07,2026|07,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Women's Health & Hormones,enabled,naturopath for pcos,Broad,removed,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Women's Health & Hormones,enabled,naturopath for thyroid,Broad,removed,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,D_criterion_removed,NO,Naturopath Near Me — Core,enabled,naturopathic doctor near me,Broad,removed,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,"MOOT - criterion removed (broad->phrase rebuild), cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,naturopathic dr near me,Broad,enabled,107,7,21.26,0,2.0,,,2025|07,2025|07,YES,NO,NO,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,integrative medicine near me,Phrase,enabled,11,1,4.24,0,0.0,,,2025|07,2025|07,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,functional medicine near me,Broad,enabled,31,2,4.07,0,7.0,,,2026|05,2026|06,NO,NO,NO,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,integrative health near me,Broad,enabled,14,3,3.29,0,1.0,,,2026|05,2026|05,NO,NO,NO,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,functional medicine clinic near me,Broad,enabled,7,1,2.73,0,0.0,,,2026|05,2026|05,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,holistic pediatricians near me,Broad,enabled,19,1,1.28,0,0.0,,,2025|08,2025|08,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,best naturopathic doctor near me,Broad,enabled,3,0,0.0,0,0.0,YES,,2025|08,2025|08,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,functional medicine doctors near me,Broad,enabled,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,functional medicine practice near me,Broad,enabled,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,holistic doctor Hopkins MN,Broad,enabled,2,0,0.0,0,0.0,YES,,2025|08,2025|08,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,holistic healthcare Minneapolis,Broad,enabled,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,natural doctor near me,Broad,enabled,4,0,0.0,0,0.0,YES,,2026|04,2026|05,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,natural doctor near me,Phrase,enabled,2,0,0.0,0,0.0,YES,,2025|07,2025|07,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,natural medicine Minnesota,Phrase,enabled,1,0,0.0,0,0.0,YES,,2025|08,2025|08,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,naturalist dr near me,Broad,enabled,0,0,0.0,0,0.0,,YES,,,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,naturopathic family medicine,Broad,enabled,48,0,0.0,0,0.0,YES,,2025|08,2025|08,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,naturopathic family medicine,Phrase,enabled,1,0,0.0,0,0.0,YES,,2025|07,2025|07,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,naturopathic practitioner near me,Broad,enabled,1,0,0.0,0,0.0,YES,,2025|08,2025|08,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,pediatric naturopath,Broad,enabled,2,0,0.0,0,0.0,YES,,2025|07,2025|07,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
KeywordView,C_dead_adgroup,NO,Ad group 1,removed,pediatric naturopath near me,Broad,enabled,2,0,0.0,0,0.0,YES,,2025|07,2025|07,NO,NO,YES,"MOOT - ad group removed, cannot serve",0,0,0.0
